model,adding_acc,removing_acc,difference,adding_count,removing_count
gemini-2.5-pro,0.9194794050343249,0.609375,0.3101044050343249,6992,384
claude-sonnet-4,0.920337528604119,0.640625,0.279712528604119,6992,384
qwen3-coder,0.8203661327231121,0.5442708333333334,0.2760952993897787,6992,384
gpt-4.1-mini,0.7664473684210527,0.4947916666666667,0.27165570175438597,6992,384
qwen3-coder-30b-a3b-instruct,0.7062356979405034,0.4348958333333333,0.27133986460717013,6992,384
grok-code-fast-1,0.8709954233409611,0.609375,0.26162042334096114,6992,384
gemma-3-12b-it,0.6883581235697941,0.4296875,0.2586706235697941,6992,384
qwen3-235b-a22b-2507,0.8289473684210527,0.5703125,0.25863486842105265,6992,384
gemma-3-4b-it,0.5803775743707094,0.3333333333333333,0.24704424103737604,6992,384
kimi-k2-0905,0.7072368421052632,0.4609375,0.24629934210526316,6992,384
gemini-2.5-flash,0.836340206185567,0.6031331592689295,0.23320704691663752,6984,383
gpt-oss-120b,0.7939073226544623,0.5651041666666666,0.22880315598779566,6992,384
gemma-3-27b-it,0.7508581235697941,0.53125,0.2196081235697941,6992,384
qwen3-235b-a22b-thinking-2507,0.4764016018306636,0.2682291666666667,0.20817243516399692,6992,384
gpt-oss-20b,0.6949370709382151,0.4973958333333333,0.1975412376048818,6992,384
gpt-5-nano,0.5316075514874142,0.3385416666666667,0.19306588482074755,6992,384
qwen3-30b-a3b,0.6530320366132724,0.4817708333333333,0.17126120327993904,6992,384
qwen-2.5-coder-32b-instruct,0.705091533180778,0.5338541666666666,0.17123736651411137,6992,384
qwen3-30b-a3b-thinking-2507,0.7318363844393593,0.5703125,0.16152388443935928,6992,384
