setting,edit_class,answer_changed,autopsy,n,share
explicit,add_only,False,other_invariant,6,0.0012
explicit,add_only,False,spurious_flip,812,0.1647
explicit,add_only,False,spurious_to_uncertain,4112,0.8341
explicit,add_only,True,stale,85,0.4359
explicit,add_only,True,uncertain_retreat,110,0.5641
explicit,removal,False,other_invariant,8,0.0031
explicit,removal,False,spurious_flip,436,0.1685
explicit,removal,False,spurious_to_uncertain,2144,0.8284
explicit,removal,True,other_changed,28,0.0038
explicit,removal,True,stale,1130,0.1527
explicit,removal,True,uncertain_retreat,6244,0.8436
implicit,add_only,False,other_invariant,19,0.0139
implicit,add_only,False,spurious_flip,729,0.5348
implicit,add_only,False,spurious_to_uncertain,615,0.4512
implicit,add_only,True,stale,123,0.6833
implicit,add_only,True,uncertain_retreat,57,0.3167
implicit,removal,False,other_invariant,5,0.0069
implicit,removal,False,spurious_flip,347,0.476
implicit,removal,False,spurious_to_uncertain,377,0.5171
implicit,removal,True,other_changed,21,0.0065
implicit,removal,True,stale,1564,0.486
implicit,removal,True,uncertain_retreat,1633,0.5075
