model,edit_class,setting,acc,n
anthropic/claude-sonnet-4,add_only,explicit,87.48,703
anthropic/claude-sonnet-4,add_only,implicit,90.9,703
anthropic/claude-sonnet-4,removal,explicit,87.84,1579
anthropic/claude-sonnet-4,removal,implicit,92.78,1579
google/gemini-2-5-flash,add_only,explicit,68.53,699
google/gemini-2-5-flash,add_only,implicit,93.85,699
google/gemini-2-5-flash,removal,explicit,78.5,1577
google/gemini-2-5-flash,removal,implicit,94.17,1577
google/gemini-2.5-pro,add_only,explicit,86.77,703
google/gemini-2.5-pro,add_only,implicit,96.02,703
google/gemini-2.5-pro,removal,explicit,90.37,1579
google/gemini-2.5-pro,removal,implicit,96.83,1579
google/gemma-3-12b-it,add_only,explicit,46.66,703
google/gemma-3-12b-it,add_only,implicit,81.37,703
google/gemma-3-12b-it,removal,explicit,48.32,1579
google/gemma-3-12b-it,removal,implicit,79.04,1579
google/gemma-3-27b-it,add_only,explicit,57.33,703
google/gemma-3-27b-it,add_only,implicit,82.22,703
google/gemma-3-27b-it,removal,explicit,65.36,1579
google/gemma-3-27b-it,removal,implicit,81.95,1579
google/gemma-3-4b-it,add_only,explicit,41.11,703
google/gemma-3-4b-it,add_only,implicit,67.99,703
google/gemma-3-4b-it,removal,explicit,45.09,1579
google/gemma-3-4b-it,removal,implicit,65.29,1579
moonshotai/kimi-k2-0905,add_only,explicit,41.11,703
moonshotai/kimi-k2-0905,add_only,implicit,84.92,703
moonshotai/kimi-k2-0905,removal,explicit,49.65,1579
moonshotai/kimi-k2-0905,removal,implicit,82.9,1579
openai/gpt-4.1-mini,add_only,explicit,50.5,703
openai/gpt-4.1-mini,add_only,implicit,87.06,703
openai/gpt-4.1-mini,removal,explicit,61.62,1579
openai/gpt-4.1-mini,removal,implicit,84.23,1579
openai/gpt-5-nano,add_only,explicit,18.78,703
openai/gpt-5-nano,add_only,implicit,83.5,703
openai/gpt-5-nano,removal,explicit,17.1,1579
openai/gpt-5-nano,removal,implicit,80.05,1579
openai/gpt-oss-120b,add_only,explicit,63.87,703
openai/gpt-oss-120b,add_only,implicit,89.19,703
openai/gpt-oss-120b,removal,explicit,66.81,1579
openai/gpt-oss-120b,removal,implicit,87.21,1579
openai/gpt-oss-20b,add_only,explicit,44.38,703
openai/gpt-oss-20b,add_only,implicit,89.19,703
openai/gpt-oss-20b,removal,explicit,52.94,1579
openai/gpt-oss-20b,removal,implicit,85.88,1579
qwen/qwen3-235b-a22b-2507,add_only,explicit,67.14,703
qwen/qwen3-235b-a22b-2507,add_only,implicit,91.47,703
qwen/qwen3-235b-a22b-2507,removal,explicit,72.89,1579
qwen/qwen3-235b-a22b-2507,removal,implicit,90.31,1579
qwen/qwen3-30b-a3b,add_only,explicit,47.8,703
qwen/qwen3-30b-a3b,add_only,implicit,87.77,703
qwen/qwen3-30b-a3b,removal,explicit,59.66,1579
qwen/qwen3-30b-a3b,removal,implicit,82.2,1579
qwen/qwen3-30b-a3b-thinking-2507,add_only,explicit,54.2,703
qwen/qwen3-30b-a3b-thinking-2507,add_only,implicit,94.03,703
qwen/qwen3-30b-a3b-thinking-2507,removal,explicit,65.04,1579
qwen/qwen3-30b-a3b-thinking-2507,removal,implicit,93.92,1579
qwen/qwen3-coder,add_only,explicit,69.27,703
qwen/qwen3-coder,add_only,implicit,89.05,703
qwen/qwen3-coder,removal,explicit,73.97,1579
qwen/qwen3-coder,removal,implicit,87.21,1579
qwen/qwen3-coder-30b-a3b-instruct,add_only,explicit,43.39,703
qwen/qwen3-coder-30b-a3b-instruct,add_only,implicit,83.5,703
qwen/qwen3-coder-30b-a3b-instruct,removal,explicit,46.36,1579
qwen/qwen3-coder-30b-a3b-instruct,removal,implicit,78.72,1579
x-ai/grok-code-fast-1,add_only,explicit,82.5,703
x-ai/grok-code-fast-1,add_only,implicit,88.48,703
x-ai/grok-code-fast-1,removal,explicit,85.75,1579
x-ai/grok-code-fast-1,removal,implicit,87.33,1579
