slice,acc_add_explicit,acc_rem_explicit,acc_add_implicit,acc_rem_implicit,deficit_explicit,deficit_explicit_ci_lo,deficit_explicit_ci_hi,deficit_implicit,deficit_implicit_ci_lo,deficit_implicit_ci_hi,did,did_ci_lo,did_ci_hi,n_add_explicit,n_add_implicit,n_rem_explicit,n_rem_implicit
anthropic/claude-sonnet-4,44.44,87.81,33.33,92.54,-43.37,-66.96,-20.04,-59.2,-80.0,-35.66,15.84,3.86,33.19,18,18,1206,1206
google/gemini-2-5-flash,44.44,78.32,44.44,93.44,-33.88,-57.7,-8.97,-48.99,-72.8,-25.04,15.12,-24.25,54.84,18,18,1204,1204
google/gemini-2.5-pro,61.11,89.97,55.56,96.52,-28.86,-52.25,-5.07,-40.96,-63.94,-16.52,12.11,5.08,25.25,18,18,1206,1206
google/gemma-3-12b-it,38.89,50.91,50.0,77.78,-12.02,-34.15,12.97,-27.78,-51.59,-3.63,15.75,-7.51,37.02,18,18,1206,1206
google/gemma-3-27b-it,44.44,69.15,38.89,80.85,-24.71,-47.19,-0.83,-41.96,-64.33,-18.95,17.25,-1.82,38.25,18,18,1206,1206
google/gemma-3-4b-it,33.33,46.35,38.89,64.76,-13.02,-34.48,11.08,-25.87,-48.72,-1.28,12.85,-0.65,20.82,18,18,1206,1206
moonshotai/kimi-k2-0905,33.33,51.08,38.89,81.51,-17.74,-39.27,6.05,-42.62,-64.93,-18.33,24.88,-0.99,49.97,18,18,1206,1206
openai/gpt-4.1-mini,27.78,64.43,38.89,83.25,-36.65,-56.17,-14.01,-44.36,-68.25,-21.06,7.71,-14.67,29.97,18,18,1206,1206
openai/gpt-5-nano,11.11,16.17,33.33,78.86,-5.06,-17.15,11.99,-45.52,-66.7,-21.85,40.46,13.96,65.7,18,18,1206,1206
openai/gpt-oss-120b,33.33,68.82,38.89,87.15,-35.49,-56.46,-11.4,-48.26,-70.9,-23.58,12.77,-0.63,20.61,18,18,1206,1206
openai/gpt-oss-20b,38.89,55.8,44.44,84.74,-16.92,-39.75,8.01,-40.3,-63.79,-15.22,23.38,2.91,43.21,18,18,1206,1206
qwen/qwen3-235b-a22b-2507,44.44,73.71,50.0,89.22,-29.27,-52.5,-6.29,-39.22,-62.85,-15.58,9.95,-10.17,29.6,18,18,1206,1206
qwen/qwen3-30b-a3b,38.89,59.54,38.89,79.52,-20.65,-44.23,4.26,-40.63,-64.52,-18.21,19.98,-2.15,42.0,18,18,1206,1206
qwen/qwen3-30b-a3b-thinking-2507,27.78,66.0,44.44,92.95,-38.23,-58.19,-16.0,-48.51,-72.7,-25.19,10.28,-14.35,33.9,18,18,1206,1206
qwen/qwen3-coder,33.33,75.12,38.89,86.32,-41.79,-62.56,-17.95,-47.43,-70.57,-24.6,5.64,-7.7,13.58,18,18,1206,1206
qwen/qwen3-coder-30b-a3b-instruct,27.78,47.68,44.44,77.69,-19.9,-40.32,3.45,-33.25,-56.67,-9.91,13.35,-10.6,37.83,18,18,1206,1206
x-ai/grok-code-fast-1,33.33,85.32,27.78,86.07,-51.99,-73.8,-28.7,-58.29,-79.42,-35.04,6.3,-12.99,26.79,18,18,1206,1206
