model,or,or_ci_lo,or_ci_hi,coef,se,pvalue,n
anthropic/claude-sonnet-4,1.2439945060738498,0.8848109801638423,1.748986355091755,0.21832757796788663,0.1738310288212718,0.20912471819378498,4564
google/gemini-2-5-flash,0.625615323104867,0.4080414967188706,0.9592027665099642,-0.4690195965969242,0.21804428852481242,0.03147390763299481,4552
google/gemini-2.5-pro,0.8855652275960251,0.5453859538586967,1.4379280705318342,-0.1215291625907007,0.24731244905409358,0.6231440642620405,4564
google/gemma-3-12b-it,0.8045610255283998,0.6088329374005701,1.0632119322634799,-0.21745846020170131,0.14222087322821075,0.12625965913251358,4564
google/gemma-3-27b-it,0.703428554809667,0.5374015294709827,0.9207486480522461,-0.35178896435868146,0.13735753693326838,0.010433568416201076,4564
google/gemma-3-4b-it,0.7520428499342158,0.6029326590907058,0.9380292137269889,-0.2849619753601699,0.11274887224364993,0.011490916271164922,4564
moonshotai/kimi-k2-0905,0.6079452259858464,0.4516379437287281,0.818348863134885,-0.49767048991328167,0.15163466309480944,0.0010306028550918895,4564
openai/gpt-4.1-mini,0.4965927053873562,0.36990476247568166,0.6666697487036164,-0.6999850951272009,0.15026765819580343,3.1890078253805166e-06,4564
openai/gpt-5-nano,0.8984153904265308,0.6526495394479881,1.2367283893863539,-0.10712274477572843,0.16305726634514042,0.5112041007023292,4564
openai/gpt-oss-120b,0.719971524701746,0.5283148321182282,0.9811554869717468,-0.3285436167794722,0.15791800165576267,0.03748247244967424,4564
openai/gpt-oss-20b,0.522645319045151,0.3741013808193785,0.7301714014567947,-0.6488522112376329,0.1706001200784193,0.0001427516182743344,4564
qwen/qwen3-235b-a22b-2507,0.6656938623029353,0.4682744948859351,0.946343059781088,-0.4069253803324559,0.1794771669071585,0.023372994001043708,4564
qwen/qwen3-30b-a3b,0.3781701590363184,0.2768593640656809,0.5165534843590359,-0.97241102847171,0.15909927765620227,9.84047460664721e-10,4564
qwen/qwen3-30b-a3b-thinking-2507,0.5983689065926419,0.37457546333774067,0.9558697336617528,-0.5135478145799025,0.2389868252574412,0.03164596886080442,4564
qwen/qwen3-coder,0.6681040622608204,0.4920050358575254,0.9072326612093211,-0.40331133575064465,0.15609948536162818,0.009775204912319622,4564
qwen/qwen3-coder-30b-a3b-instruct,0.6493937804723856,0.4879618862066414,0.8642320108124817,-0.4317159967039024,0.14581733750550066,0.0030697762775483547,4564
x-ai/grok-code-fast-1,0.7018296249118792,0.5171726533921738,0.9524185379354067,-0.35406460396835693,0.1557723999246867,0.02302852481547389,4564
