slice,acc_add_explicit,acc_rem_explicit,acc_add_implicit,acc_rem_implicit,deficit_explicit,deficit_explicit_ci_lo,deficit_explicit_ci_hi,deficit_implicit,deficit_implicit_ci_lo,deficit_implicit_ci_hi,did,did_ci_lo,did_ci_hi,n_add_explicit,n_add_implicit,n_rem_explicit,n_rem_implicit,note
primary,36.27,63.89,41.18,84.3,-27.62,-42.21,-10.64,-43.13,-60.48,-24.61,15.51,9.02,21.84,306.0,306.0,20500.0,20500.0,
a_exclude_parse_fail,36.27,63.98,41.18,84.39,-27.71,-42.3,-10.73,-43.21,-60.58,-24.66,15.51,9.05,21.82,306.0,306.0,20472.0,20479.0,
b_include_flagged,34.21,60.98,39.77,82.39,-26.77,-40.68,-10.78,-42.62,-59.26,-24.45,15.86,9.64,22.01,342.0,342.0,22912.0,22912.0,
c_cot_prompting,37.05,66.76,39.67,85.08,-29.72,-44.39,-13.45,-45.41,-62.84,-25.94,15.7,8.61,21.79,305.0,305.0,20499.0,20499.0,
d_feedback_runs,31.05,64.71,38.24,83.2,-33.67,-47.09,-18.15,-44.97,-62.35,-26.64,11.3,3.23,18.49,306.0,306.0,20502.0,20502.0,
f_prereg_spec_coding,34.03,62.48,53.57,84.18,-28.44,-39.44,-16.49,-30.61,-44.46,-16.41,2.16,-9.01,12.6,476.0,476.0,23781.0,23781.0,
g_actual_coding_incl_mismatch,39.9,62.2,47.83,84.18,-22.3,-36.19,-8.0,-36.35,-52.29,-20.73,14.05,5.94,21.75,391.0,391.0,23900.0,23900.0,
e_target_fact,38.82,58.9,44.71,81.09,-20.07,-47.62,14.2,-36.38,-61.07,-2.56,16.31,0.97,31.76,85.0,85.0,2771.0,2771.0,
e_target_rule,34.31,64.88,37.25,85.38,-30.56,-50.48,-6.57,-48.12,-70.94,-21.84,17.56,9.51,24.63,204.0,204.0,9265.0,9265.0,
e_target_both,,,,,,,,,,,,,,,,,,add_only x changed cell < 50 turns; skipped
