scope,excess_anchoring_pts,n_matched_wrong_errors,raw_anchored_wrong,raw_anchored_correct
pooled,0.74,1924,16.94,14.07
anthropic/claude-sonnet-4,7.56,52,21.15,10.53
google/gemini-2-5-flash,-2.44,40,17.07,17.07
google/gemini-2.5-pro,-9.38,16,30.0,27.27
google/gemma-3-12b-it,2.44,158,22.15,18.75
google/gemma-3-27b-it,4.82,146,21.23,12.27
google/gemma-3-4b-it,2.73,223,31.84,23.74
moonshotai/kimi-k2-0905,0.37,152,15.13,13.29
openai/gpt-4.1-mini,5.34,112,25.89,16.81
openai/gpt-5-nano,0.32,223,3.14,2.41
openai/gpt-oss-120b,-5.3,125,1.6,4.51
openai/gpt-oss-20b,0.26,127,7.87,4.79
qwen/qwen3-235b-a22b-2507,-14.42,62,9.38,23.91
qwen/qwen3-30b-a3b,-9.49,68,8.7,20.55
qwen/qwen3-30b-a3b-thinking-2507,-19.73,67,20.9,42.31
qwen/qwen3-coder,7.9,103,21.36,13.73
qwen/qwen3-coder-30b-a3b-instruct,3.94,177,16.38,11.11
x-ai/grok-code-fast-1,3.88,65,26.15,28.3
