model_name,model_short,mean_difference,std_difference,max_difference,min_difference,n_task_types
google/gemini-2.5-pro,gemini-2.5-pro,0.3101044050343249,0.19925681204637724,0.527984363081617,0.08953089244851253,8
anthropic/claude-sonnet-4,claude-sonnet-4,0.279712528604119,0.223565172515921,0.5483409610983981,0.03756674294431739,8
qwen/qwen3-coder,qwen3-coder,0.2760952993897788,0.1662952077179761,0.4680587337909992,0.0950610221205187,8
openai/gpt-4.1-mini,gpt-4.1-mini,0.27165570175438597,0.1601625550543385,0.501048817696415,0.06736270022883295,8
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,0.2713398646071701,0.07352614128836323,0.4017448512585813,0.19236270022883295,8
x-ai/grok-code-fast-1,grok-code-fast-1,0.2616204233409611,0.15726794634424784,0.4652936689549962,0.07880434782608692,8
google/gemma-3-12b-it,gemma-3-12b-it,0.25867062356979403,0.13808690791213754,0.4461765827612509,0.08662280701754388,8
qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-2507,0.2586348684210526,0.16471254246648573,0.4772120518688024,0.06688596491228072,8
google/gemma-3-4b-it,gemma-3-4b-it,0.24704424103737604,0.1418991277836201,0.4036517925247903,0.014826468344774968,8
moonshotai/kimi-k2-0905,kimi-k2-0905,0.24629934210526316,0.12338653933434492,0.4454614797864226,0.09939931350114417,8
google/gemini-2.5-flash,gemini-2.5-flash,0.2340565084495495,0.1347750981555953,0.4248967926325818,0.06182873034138858,8
openai/gpt-oss-120b,gpt-oss-120b,0.22880315598779558,0.1464219455451334,0.4440312738367658,0.013777650648360007,8
google/gemma-3-27b-it,gemma-3-27b-it,0.21960812356979403,0.12038564305660933,0.3875381388253242,0.05983028222730735,8
qwen/qwen3-235b-a22b-thinking-2507,qwen3-235b-a22b-thinking-2507,0.20817243516399694,0.04468277853042022,0.2768878718535469,0.1290522501906941,8
openai/gpt-oss-20b,gpt-oss-20b,0.1975412376048818,0.0893088575818598,0.36422578184591914,0.07994851258581237,8
openai/gpt-5-nano,gpt-5-nano,0.1930658848207475,0.052326662224451266,0.2793668954996186,0.1092677345537757,8
qwen/qwen3-30b-a3b,qwen3-30b-a3b,0.171261203279939,0.04502000896942597,0.2459477498093059,0.11270022883295194,8
qwen/qwen-2.5-coder-32b-instruct,qwen-2.5-coder-32b-instruct,0.17123736651411137,0.07742659449360316,0.3005339435545385,0.07932875667429451,8
qwen/qwen3-30b-a3b-thinking-2507,qwen3-30b-a3b-thinking-2507,0.16152388443935928,0.08254207178662389,0.2911422578184592,0.07398932112890921,8
