model,size_billions,architecture,avg_score,efficiency
gemini-2-5-flash,~5,Standard,0.6264,12.53
gpt-4.1-mini,~8,MoE,0.4254,5.32
gemma-3-4b-it,4,Standard,0.1966,4.91
gpt-5-nano,~8,Standard,0.2642,3.3
gemma-3-12b-it,12,Standard,0.3202,2.67
gpt-oss-20b,20,Standard,0.3929,1.96
qwen3-30b-a3b-thinking-2507,30,Standard,0.527,1.76
qwen-2.5-coder-32b-instruct,32,Standard,0.5115,1.6
gemma-3-27b-it,27,Standard,0.4221,1.56
qwen3-30b-a3b,30,Standard,0.4174,1.39
qwen3-coder-30b-a3b-instruct,30,Standard,0.3183,1.06
claude-sonnet-4,~175,Standard,0.7043,0.4
gemini-2.5-pro,~200,Standard,0.7723,0.39
gpt-oss-120b,120,Standard,0.4458,0.37
qwen3-235b-a22b-2507,235,Standard,0.5819,0.25
grok-code-fast-1,314,MoE,0.6224,0.2
qwen3-coder,480,MoE,0.4736,0.1
qwen3-235b-a22b-thinking-2507,235,Standard,0.1978,0.08
kimi-k2-0905,1000,MoE,0.4018,0.04
