rank,model,avg_score,std_score,min_score,max_score,n_observations
1,gemini-2.5-pro,0.7723,0.163,0.46,0.95,24
2,claude-sonnet-4,0.7043,0.1234,0.4525,0.89,24
3,gemini-2-5-flash,0.6264,0.2154,0.2575,0.8775,24
4,grok-code-fast-1,0.6224,0.1408,0.375,0.8075,24
5,qwen3-235b-a22b-2507,0.5819,0.2287,0.1825,0.88,24
6,qwen3-30b-a3b-thinking-2507,0.527,0.2828,0.06,0.855,24
7,qwen-2.5-coder-32b-instruct,0.5115,0.2313,0.0675,0.8375,24
8,qwen3-coder,0.4736,0.1794,0.13,0.755,24
9,gpt-oss-120b,0.4458,0.2163,0.1025,0.73,24
10,gpt-4.1-mini,0.4254,0.2483,0.035,0.7925,24
11,gemma-3-27b-it,0.4221,0.194,0.0725,0.725,24
12,qwen3-30b-a3b,0.4174,0.2377,0.025,0.775,24
13,kimi-k2-0905,0.4018,0.258,0.0225,0.76,24
14,gpt-oss-20b,0.3929,0.2416,0.0225,0.7125,24
15,gemma-3-12b-it,0.3202,0.2029,0.02,0.6425,24
16,qwen3-coder-30b-a3b-instruct,0.3183,0.2101,0.0125,0.6425,24
17,gpt-5-nano,0.2642,0.2551,0.0,0.6575,24
18,qwen3-235b-a22b-thinking-2507,0.1978,0.1347,0.005,0.4125,24
19,gemma-3-4b-it,0.1966,0.133,0.015,0.4225,24
