model,COT,Standard,difference,cot_advantage_pct,better_method
qwen-2.5-coder-32b-instruct,0.5633,0.4596,0.1038,10.38,COT
gemma-3-27b-it,0.4681,0.376,0.0921,9.21,COT
claude-sonnet-4,0.7479,0.6606,0.0873,8.73,COT
kimi-k2-0905,0.4392,0.3644,0.0748,7.48,COT
qwen3-coder,0.5062,0.441,0.0652,6.52,COT
gpt-4.1-mini,0.4515,0.3994,0.0521,5.21,COT
gemma-3-12b-it,0.3421,0.2983,0.0438,4.38,COT
qwen3-coder-30b-a3b-instruct,0.3402,0.2965,0.0437,4.37,COT
gpt-oss-120b,0.46,0.4317,0.0283,2.83,COT
qwen3-30b-a3b-thinking-2507,0.5398,0.5142,0.0256,2.56,COT
qwen3-235b-a22b-2507,0.5917,0.5721,0.0196,1.96,COT
gemma-3-4b-it,0.2054,0.1877,0.0177,1.77,COT
gpt-5-nano,0.2721,0.2562,0.0158,1.58,COT
grok-code-fast-1,0.6302,0.6146,0.0156,1.56,COT
qwen3-30b-a3b,0.425,0.4098,0.0152,1.52,COT
qwen3-235b-a22b-thinking-2507,0.2042,0.1915,0.0127,1.27,COT
gpt-oss-20b,0.3962,0.3896,0.0067,0.67,Similar
gemini-2.5-pro,0.7719,0.7727,-0.0008,-0.08,Similar
gemini-2-5-flash,0.6201,0.6328,-0.0127,-1.27,Standard
