model,k,Standard,COT,difference
claude-sonnet-4,7,0.5662,0.6469,0.0806
gemma-3-27b-it,7,0.2469,0.3137,0.0669
qwen-2.5-coder-32b-instruct,7,0.3131,0.37,0.0569
qwen3-coder,7,0.3106,0.3638,0.0531
kimi-k2-0905,7,0.2456,0.2838,0.0381
gpt-4.1-mini,7,0.2506,0.2856,0.035
gemma-3-12b-it,7,0.1706,0.1956,0.025
qwen3-coder-30b-a3b-instruct,7,0.1844,0.2069,0.0225
grok-code-fast-1,7,0.47,0.4831,0.0131
qwen3-30b-a3b-thinking-2507,7,0.3744,0.3862,0.0119
gpt-5-nano,7,0.1794,0.1888,0.0094
gpt-oss-120b,7,0.3294,0.335,0.0056
gemma-3-4b-it,7,0.0756,0.0788,0.0031
gemini-2-5-flash,7,0.5011,0.5033,0.0022
gemini-2.5-pro,7,0.6606,0.6625,0.0019
qwen3-235b-a22b-2507,7,0.4144,0.4156,0.0012
qwen3-235b-a22b-thinking-2507,7,0.1169,0.115,-0.0019
gpt-oss-20b,7,0.2706,0.2644,-0.0063
qwen3-30b-a3b,7,0.2125,0.1969,-0.0156
qwen-2.5-coder-32b-instruct,4,0.4425,0.5544,0.1119
claude-sonnet-4,4,0.6562,0.7494,0.0931
gemma-3-27b-it,4,0.3612,0.4525,0.0913
kimi-k2-0905,4,0.3319,0.4075,0.0756
qwen3-coder,4,0.4262,0.4888,0.0625
gpt-4.1-mini,4,0.3662,0.4212,0.055
gemma-3-12b-it,4,0.2681,0.3131,0.045
qwen3-coder-30b-a3b-instruct,4,0.2681,0.3037,0.0356
gpt-oss-120b,4,0.4231,0.445,0.0219
grok-code-fast-1,4,0.6081,0.63,0.0219
qwen3-235b-a22b-2507,4,0.5619,0.5812,0.0194
qwen3-235b-a22b-thinking-2507,4,0.165,0.1844,0.0194
qwen3-30b-a3b-thinking-2507,4,0.4994,0.5175,0.0181
gemma-3-4b-it,4,0.1538,0.1713,0.0175
qwen3-30b-a3b,4,0.3788,0.3944,0.0156
gpt-oss-20b,4,0.3656,0.3775,0.0119
gpt-5-nano,4,0.2512,0.2625,0.0113
gemini-2.5-pro,4,0.7756,0.7738,-0.0019
gemini-2-5-flash,4,0.613,0.6002,-0.0128
qwen-2.5-coder-32b-instruct,2,0.6231,0.7656,0.1425
gemma-3-27b-it,2,0.52,0.6381,0.1181
kimi-k2-0905,2,0.5156,0.6262,0.1106
claude-sonnet-4,2,0.7594,0.8475,0.0881
qwen3-coder,2,0.5862,0.6662,0.08
qwen3-coder-30b-a3b-instruct,2,0.4369,0.51,0.0731
gpt-4.1-mini,2,0.5812,0.6475,0.0662
gemma-3-12b-it,2,0.4562,0.5175,0.0612
gpt-oss-120b,2,0.5425,0.6,0.0575
qwen3-30b-a3b-thinking-2507,2,0.6688,0.7156,0.0469
qwen3-30b-a3b,2,0.6381,0.6838,0.0456
qwen3-235b-a22b-2507,2,0.74,0.7781,0.0381
gemma-3-4b-it,2,0.3338,0.3662,0.0325
gpt-5-nano,2,0.3381,0.365,0.0269
qwen3-235b-a22b-thinking-2507,2,0.2925,0.3131,0.0206
gpt-oss-20b,2,0.5325,0.5469,0.0144
grok-code-fast-1,2,0.7656,0.7775,0.0119
gemini-2.5-pro,2,0.8819,0.8794,-0.0025
gemini-2-5-flash,2,0.7843,0.7566,-0.0276
