model,k,task_type,score_Standard,score_COT,difference
qwen3-coder,7,explicit,0.13,0.22,0.09
claude-sonnet-4,7,explicit,0.4575,0.5375,0.08
gemma-3-27b-it,7,explicit,0.085,0.1575,0.0725
gemma-3-12b-it,7,explicit,0.02,0.0575,0.0375
qwen3-coder-30b-a3b-instruct,7,explicit,0.0125,0.0375,0.025
gpt-oss-120b,7,explicit,0.1025,0.125,0.0225
gpt-oss-20b,7,explicit,0.0225,0.045,0.0225
kimi-k2-0905,7,explicit,0.0225,0.04,0.0175
gpt-4.1-mini,7,explicit,0.04,0.055,0.015
grok-code-fast-1,7,explicit,0.375,0.385,0.01
qwen-2.5-coder-32b-instruct,7,explicit,0.155,0.1625,0.0075
qwen3-235b-a22b-thinking-2507,7,explicit,0.005,0.0125,0.0075
gemma-3-4b-it,7,explicit,0.015,0.02,0.005
qwen3-235b-a22b-2507,7,explicit,0.185,0.1875,0.0025
gpt-5-nano,7,explicit,0.0,0.0025,0.0025
gemini-2.5-pro,7,explicit,0.49,0.48,-0.01
qwen3-30b-a3b-thinking-2507,7,explicit,0.0825,0.06,-0.0225
gemini-2-5-flash,7,explicit,0.2825,0.2575,-0.025
qwen3-30b-a3b,7,explicit,0.0575,0.025,-0.0325
qwen-2.5-coder-32b-instruct,7,explicit_no_corr,0.0675,0.1775,0.11
claude-sonnet-4,7,explicit_no_corr,0.4525,0.5575,0.105
gemma-3-27b-it,7,explicit_no_corr,0.0725,0.1225,0.05
qwen3-coder,7,explicit_no_corr,0.1525,0.2,0.0475
gemma-3-4b-it,7,explicit_no_corr,0.02,0.04,0.02
kimi-k2-0905,7,explicit_no_corr,0.0225,0.04,0.0175
gemma-3-12b-it,7,explicit_no_corr,0.0275,0.0425,0.015
gpt-4.1-mini,7,explicit_no_corr,0.035,0.0475,0.0125
gpt-oss-120b,7,explicit_no_corr,0.115,0.12,0.005
qwen3-coder-30b-a3b-instruct,7,explicit_no_corr,0.03,0.0325,0.0025
qwen3-235b-a22b-2507,7,explicit_no_corr,0.1825,0.185,0.0025
gpt-oss-20b,7,explicit_no_corr,0.0475,0.05,0.0025
qwen3-30b-a3b-thinking-2507,7,explicit_no_corr,0.07,0.0725,0.0025
gpt-5-nano,7,explicit_no_corr,0.0,0.0,0.0
qwen3-235b-a22b-thinking-2507,7,explicit_no_corr,0.015,0.0125,-0.0025
qwen3-30b-a3b,7,explicit_no_corr,0.05,0.0375,-0.0125
gemini-2-5-flash,7,explicit_no_corr,0.29,0.2682,-0.0218
grok-code-fast-1,7,explicit_no_corr,0.4025,0.3775,-0.025
gemini-2.5-pro,7,explicit_no_corr,0.4925,0.46,-0.0325
gemma-3-27b-it,7,implicit,0.41,0.495,0.085
claude-sonnet-4,7,implicit,0.6875,0.7575,0.07
qwen3-coder,7,implicit,0.485,0.54,0.055
gpt-4.1-mini,7,implicit,0.4625,0.51,0.0475
kimi-k2-0905,7,implicit,0.47,0.505,0.035
gemma-3-12b-it,7,implicit,0.3175,0.345,0.0275
gemini-2.5-pro,7,implicit,0.8275,0.8525,0.025
qwen3-coder-30b-a3b-instruct,7,implicit,0.3525,0.3775,0.025
grok-code-fast-1,7,implicit,0.5625,0.585,0.0225
gemini-2-5-flash,7,implicit,0.715,0.73,0.015
qwen3-30b-a3b-thinking-2507,7,implicit,0.695,0.7,0.005
gpt-5-nano,7,implicit,0.3675,0.3725,0.005
qwen3-235b-a22b-2507,7,implicit,0.64,0.6425,0.0025
qwen3-235b-a22b-thinking-2507,7,implicit,0.23,0.23,0.0
gpt-oss-120b,7,implicit,0.545,0.54,-0.005
qwen-2.5-coder-32b-instruct,7,implicit,0.5875,0.5775,-0.01
gemma-3-4b-it,7,implicit,0.1375,0.125,-0.0125
qwen3-30b-a3b,7,implicit,0.3725,0.345,-0.0275
gpt-oss-20b,7,implicit,0.5275,0.485,-0.0425
qwen-2.5-coder-32b-instruct,7,implicit_no_corr,0.4425,0.5625,0.12
kimi-k2-0905,7,implicit_no_corr,0.4675,0.55,0.0825
claude-sonnet-4,7,implicit_no_corr,0.6675,0.735,0.0675
gpt-4.1-mini,7,implicit_no_corr,0.465,0.53,0.065
qwen3-30b-a3b-thinking-2507,7,implicit_no_corr,0.65,0.7125,0.0625
gemma-3-27b-it,7,implicit_no_corr,0.42,0.48,0.06
grok-code-fast-1,7,implicit_no_corr,0.54,0.585,0.045
gemini-2-5-flash,7,implicit_no_corr,0.7168,0.7575,0.0407
qwen3-coder-30b-a3b-instruct,7,implicit_no_corr,0.3425,0.38,0.0375
gpt-5-nano,7,implicit_no_corr,0.35,0.38,0.03
gemini-2.5-pro,7,implicit_no_corr,0.8325,0.8575,0.025
gemma-3-12b-it,7,implicit_no_corr,0.3175,0.3375,0.02
qwen3-coder,7,implicit_no_corr,0.475,0.495,0.02
qwen3-30b-a3b,7,implicit_no_corr,0.37,0.38,0.01
gemma-3-4b-it,7,implicit_no_corr,0.13,0.13,0.0
gpt-oss-120b,7,implicit_no_corr,0.555,0.555,0.0
qwen3-235b-a22b-2507,7,implicit_no_corr,0.65,0.6475,-0.0025
