model,Explicit,Implicit,difference,implicit_advantage_pct,stronger_on
gpt-5-nano,0.0277,0.5006,0.4729,47.29,Implicit
qwen3-30b-a3b-thinking-2507,0.2929,0.761,0.4681,46.81,Implicit
kimi-k2-0905,0.191,0.6125,0.4215,42.15,Implicit
gpt-oss-20b,0.1879,0.5979,0.41,41.0,Implicit
gpt-4.1-mini,0.2354,0.6154,0.38,38.0,Implicit
gpt-oss-120b,0.2625,0.6292,0.3667,36.67,Implicit
gemini-2-5-flash,0.458,0.7949,0.3369,33.69,Implicit
qwen3-coder-30b-a3b-instruct,0.1512,0.4854,0.3342,33.42,Implicit
qwen3-235b-a22b-2507,0.4185,0.7452,0.3267,32.67,Implicit
gemma-3-12b-it,0.17,0.4704,0.3004,30.04,Implicit
qwen-2.5-coder-32b-instruct,0.3627,0.6602,0.2975,29.75,Implicit
gemma-3-27b-it,0.2904,0.5538,0.2633,26.33,Implicit
qwen3-30b-a3b,0.2885,0.5462,0.2577,25.77,Implicit
gemini-2.5-pro,0.65,0.8946,0.2446,24.46,Implicit
qwen3-coder,0.3548,0.5925,0.2377,23.77,Implicit
qwen3-235b-a22b-thinking-2507,0.0927,0.3029,0.2102,21.02,Implicit
claude-sonnet-4,0.6304,0.7781,0.1477,14.77,Implicit
grok-code-fast-1,0.5625,0.6823,0.1198,11.98,Implicit
gemma-3-4b-it,0.1369,0.2563,0.1194,11.94,Implicit
