model,k,Explicit,Implicit,difference
qwen3-30b-a3b-thinking-2507,7,0.0713,0.6894,0.6181
kimi-k2-0905,7,0.0312,0.4981,0.4669
qwen3-235b-a22b-2507,7,0.185,0.645,0.46
gemini-2-5-flash,7,0.2745,0.7298,0.4553
gpt-oss-20b,7,0.0412,0.4938,0.4525
gpt-4.1-mini,7,0.0444,0.4919,0.4475
gpt-oss-120b,7,0.1156,0.5488,0.4331
qwen-2.5-coder-32b-instruct,7,0.1406,0.5425,0.4019
gpt-5-nano,7,0.0006,0.3675,0.3669
gemini-2.5-pro,7,0.4806,0.8425,0.3619
gemma-3-27b-it,7,0.1094,0.4512,0.3419
qwen3-coder-30b-a3b-instruct,7,0.0281,0.3631,0.335
qwen3-30b-a3b,7,0.0425,0.3669,0.3244
qwen3-coder,7,0.1756,0.4988,0.3231
gemma-3-12b-it,7,0.0369,0.3294,0.2925
claude-sonnet-4,7,0.5012,0.7119,0.2106
qwen3-235b-a22b-thinking-2507,7,0.0112,0.2206,0.2094
grok-code-fast-1,7,0.385,0.5681,0.1831
gemma-3-4b-it,7,0.0238,0.1306,0.1069
qwen3-30b-a3b-thinking-2507,4,0.2544,0.7625,0.5081
gpt-5-nano,4,0.0081,0.5056,0.4975
kimi-k2-0905,4,0.1331,0.6062,0.4731
gpt-oss-20b,4,0.1444,0.5988,0.4544
gpt-4.1-mini,4,0.1813,0.6062,0.425
gpt-oss-120b,4,0.2381,0.63,0.3919
qwen3-coder-30b-a3b-instruct,4,0.0988,0.4731,0.3744
gemini-2-5-flash,4,0.4202,0.793,0.3728
gemma-3-12b-it,4,0.115,0.4662,0.3512
qwen3-235b-a22b-2507,4,0.3981,0.745,0.3469
qwen-2.5-coder-32b-instruct,4,0.3375,0.6594,0.3219
qwen3-30b-a3b,4,0.23,0.5431,0.3131
gemma-3-27b-it,4,0.2681,0.5456,0.2775
gemini-2.5-pro,4,0.6506,0.8988,0.2481
qwen3-coder,4,0.3388,0.5762,0.2375
qwen3-235b-a22b-thinking-2507,4,0.0575,0.2919,0.2344
claude-sonnet-4,4,0.6312,0.7744,0.1431
gemma-3-4b-it,4,0.0944,0.2306,0.1362
grok-code-fast-1,4,0.5562,0.6819,0.1256
gpt-5-nano,2,0.0744,0.6287,0.5544
kimi-k2-0905,2,0.4088,0.7331,0.3244
gpt-oss-20b,2,0.3781,0.7012,0.3231
qwen3-coder-30b-a3b-instruct,2,0.3269,0.62,0.2931
qwen3-30b-a3b-thinking-2507,2,0.5531,0.8312,0.2781
gpt-oss-120b,2,0.4338,0.7088,0.275
gpt-4.1-mini,2,0.4806,0.7481,0.2675
gemma-3-12b-it,2,0.3581,0.6156,0.2575
qwen3-235b-a22b-thinking-2507,2,0.2094,0.3962,0.1869
gemini-2-5-flash,2,0.6791,0.8618,0.1826
qwen3-235b-a22b-2507,2,0.6725,0.8456,0.1731
gemma-3-27b-it,2,0.4938,0.6644,0.1706
qwen-2.5-coder-32b-instruct,2,0.61,0.7788,0.1688
qwen3-coder,2,0.55,0.7025,0.1525
qwen3-30b-a3b,2,0.5931,0.7288,0.1356
gemini-2.5-pro,2,0.8188,0.9425,0.1238
gemma-3-4b-it,2,0.2925,0.4075,0.115
claude-sonnet-4,2,0.7588,0.8481,0.0894
grok-code-fast-1,2,0.7462,0.7969,0.0506
