model,No Correction,With Correction,difference,correction_benefit_pct,better_with
qwen-2.5-coder-32b-instruct,0.476,0.5469,0.0708,7.08,Correction
gpt-oss-20b,0.3831,0.4027,0.0196,1.96,Correction
gemma-3-27b-it,0.4129,0.4312,0.0183,1.83,Correction
qwen3-coder,0.4656,0.4817,0.016,1.6,Correction
gemma-3-12b-it,0.3154,0.325,0.0096,0.96,Similar
gemini-2-5-flash,0.6224,0.6304,0.008,0.8,Similar
qwen3-30b-a3b-thinking-2507,0.5235,0.5304,0.0069,0.69,Similar
claude-sonnet-4,0.7008,0.7077,0.0069,0.69,Similar
qwen3-coder-30b-a3b-instruct,0.3152,0.3215,0.0062,0.62,Similar
gpt-oss-120b,0.4433,0.4483,0.005,0.5,Similar
gpt-5-nano,0.2617,0.2667,0.005,0.5,Similar
grok-code-fast-1,0.6208,0.624,0.0031,0.31,Similar
qwen3-235b-a22b-2507,0.581,0.5827,0.0017,0.17,Similar
qwen3-235b-a22b-thinking-2507,0.1981,0.1975,-0.0006,-0.06,Similar
gemini-2.5-pro,0.7738,0.7708,-0.0029,-0.29,Similar
gemma-3-4b-it,0.1987,0.1944,-0.0044,-0.44,Similar
gpt-4.1-mini,0.4292,0.4217,-0.0075,-0.75,Similar
kimi-k2-0905,0.4067,0.3969,-0.0098,-0.98,Similar
qwen3-30b-a3b,0.4254,0.4094,-0.016,-1.6,No Correction
