model,k,task_type,score_WithCorr,score_NoCorr,difference
gemma-3-27b-it,7,explicit_cot,0.1575,0.1225,0.035
qwen3-coder,7,explicit_cot,0.22,0.2,0.02
gemini-2.5-pro,7,explicit_cot,0.48,0.46,0.02
gemma-3-12b-it,7,explicit_cot,0.0575,0.0425,0.015
grok-code-fast-1,7,explicit_cot,0.385,0.3775,0.0075
gpt-4.1-mini,7,explicit_cot,0.055,0.0475,0.0075
gpt-oss-120b,7,explicit_cot,0.125,0.12,0.005
qwen3-coder-30b-a3b-instruct,7,explicit_cot,0.0375,0.0325,0.005
qwen3-235b-a22b-2507,7,explicit_cot,0.1875,0.185,0.0025
gpt-5-nano,7,explicit_cot,0.0025,0.0,0.0025
kimi-k2-0905,7,explicit_cot,0.04,0.04,0.0
qwen3-235b-a22b-thinking-2507,7,explicit_cot,0.0125,0.0125,0.0
gpt-oss-20b,7,explicit_cot,0.045,0.05,-0.005
gemini-2-5-flash,7,explicit_cot,0.2575,0.2682,-0.0107
qwen3-30b-a3b,7,explicit_cot,0.025,0.0375,-0.0125
qwen3-30b-a3b-thinking-2507,7,explicit_cot,0.06,0.0725,-0.0125
qwen-2.5-coder-32b-instruct,7,explicit_cot,0.1625,0.1775,-0.015
gemma-3-4b-it,7,explicit_cot,0.02,0.04,-0.02
claude-sonnet-4,7,explicit_cot,0.5375,0.5575,-0.02
qwen-2.5-coder-32b-instruct,7,explicit_standard,0.155,0.0675,0.0875
gemma-3-27b-it,7,explicit_standard,0.085,0.0725,0.0125
qwen3-30b-a3b-thinking-2507,7,explicit_standard,0.0825,0.07,0.0125
qwen3-30b-a3b,7,explicit_standard,0.0575,0.05,0.0075
claude-sonnet-4,7,explicit_standard,0.4575,0.4525,0.005
gpt-4.1-mini,7,explicit_standard,0.04,0.035,0.005
qwen3-235b-a22b-2507,7,explicit_standard,0.185,0.1825,0.0025
kimi-k2-0905,7,explicit_standard,0.0225,0.0225,0.0
gpt-5-nano,7,explicit_standard,0.0,0.0,0.0
gemini-2.5-pro,7,explicit_standard,0.49,0.4925,-0.0025
gemma-3-4b-it,7,explicit_standard,0.015,0.02,-0.005
gemma-3-12b-it,7,explicit_standard,0.02,0.0275,-0.0075
gemini-2-5-flash,7,explicit_standard,0.2825,0.29,-0.0075
qwen3-235b-a22b-thinking-2507,7,explicit_standard,0.005,0.015,-0.01
gpt-oss-120b,7,explicit_standard,0.1025,0.115,-0.0125
qwen3-coder-30b-a3b-instruct,7,explicit_standard,0.0125,0.03,-0.0175
qwen3-coder,7,explicit_standard,0.13,0.1525,-0.0225
gpt-oss-20b,7,explicit_standard,0.0225,0.0475,-0.025
grok-code-fast-1,7,explicit_standard,0.375,0.4025,-0.0275
qwen3-coder,7,implicit_cot,0.54,0.495,0.045
qwen3-235b-a22b-thinking-2507,7,implicit_cot,0.23,0.205,0.025
claude-sonnet-4,7,implicit_cot,0.7575,0.735,0.0225
gemma-3-27b-it,7,implicit_cot,0.495,0.48,0.015
qwen-2.5-coder-32b-instruct,7,implicit_cot,0.5775,0.5625,0.015
gpt-oss-20b,7,implicit_cot,0.485,0.4775,0.0075
gemma-3-12b-it,7,implicit_cot,0.345,0.3375,0.0075
grok-code-fast-1,7,implicit_cot,0.585,0.585,0.0
qwen3-coder-30b-a3b-instruct,7,implicit_cot,0.3775,0.38,-0.0025
gemini-2.5-pro,7,implicit_cot,0.8525,0.8575,-0.005
gemma-3-4b-it,7,implicit_cot,0.125,0.13,-0.005
qwen3-235b-a22b-2507,7,implicit_cot,0.6425,0.6475,-0.005
gpt-5-nano,7,implicit_cot,0.3725,0.38,-0.0075
qwen3-30b-a3b-thinking-2507,7,implicit_cot,0.7,0.7125,-0.0125
gpt-oss-120b,7,implicit_cot,0.54,0.555,-0.015
gpt-4.1-mini,7,implicit_cot,0.51,0.53,-0.02
gemini-2-5-flash,7,implicit_cot,0.73,0.7575,-0.0275
qwen3-30b-a3b,7,implicit_cot,0.345,0.38,-0.035
kimi-k2-0905,7,implicit_cot,0.505,0.55,-0.045
qwen-2.5-coder-32b-instruct,7,implicit_standard,0.5875,0.4425,0.145
