model,k_2,k_4,k_7,improvement_k7_to_k2,improvement_pct
qwen3-30b-a3b,0.6609,0.3866,0.2047,0.4562,45.62
qwen-2.5-coder-32b-instruct,0.6944,0.4984,0.3416,0.3528,35.28
gpt-4.1-mini,0.6144,0.3938,0.2681,0.3462,34.62
qwen3-235b-a22b-2507,0.7591,0.5716,0.415,0.3441,34.41
qwen3-30b-a3b-thinking-2507,0.6922,0.5084,0.3803,0.3119,31.19
kimi-k2-0905,0.5709,0.3697,0.2647,0.3062,30.62
gemma-3-12b-it,0.4869,0.2906,0.1831,0.3037,30.37
gemma-3-27b-it,0.5791,0.4069,0.2803,0.2988,29.88
grok-code-fast-1,0.7716,0.6191,0.4766,0.295,29.5
qwen3-coder,0.6262,0.4575,0.3372,0.2891,28.91
qwen3-coder-30b-a3b-instruct,0.4734,0.2859,0.1956,0.2778,27.78
gemma-3-4b-it,0.35,0.1625,0.0772,0.2728,27.28
gpt-oss-20b,0.5397,0.3716,0.2675,0.2722,27.22
gemini-2-5-flash,0.7705,0.6066,0.5022,0.2683,26.83
gpt-oss-120b,0.5712,0.4341,0.3322,0.2391,23.91
gemini-2.5-pro,0.8806,0.7747,0.6616,0.2191,21.91
claude-sonnet-4,0.8034,0.7028,0.6066,0.1969,19.69
qwen3-235b-a22b-thinking-2507,0.3028,0.1747,0.1159,0.1869,18.69
gpt-5-nano,0.3516,0.2569,0.1841,0.1675,16.75
